STG_Location,QR_UUID
STG-DD115-1,056FE5D1-8734-41CE-8AB2-B9B91E3DA470
STG-DD115-2,1C99F64C-C3E0-4C85-A15D-0419247EE8E1
STG-DD115-3,986B5AC4-0015-4BDF-8445-2ADBE40FC4AF
STG-DD115-4,59ACF09E-BA31-4FB1-9BC5-7C68896F6519
STG-DD115-5,39A59D88-EBED-4A31-8F51-31BDAEBE3FE1
STG-DD115-6,A71BEED1-2D0E-465C-8C63-F6214E75717D
STG-DD115-7,963BC6FC-397D-4156-89ED-B2F79216F61C
STG-DD115-8,A80567C6-66C3-4D6E-943F-EBF2BBD31BFA
STG-DD115-9,0E915A1A-ABDD-450B-972B-E3B327907153
STG-DD115-10,49CC5A9A-3873-4499-A8D0-0ABEA0D222F7
STG-DD115-11,72F48972-731A-4831-A0ED-F107B542D715
STG-DD115-12,44CFA1A6-5862-464E-A14F-6F44B3D84BB6
STG-DD115-13,AB1E4094-A0AA-4B2D-9EFF-BCE7E7E29A9A
STG-DD115-14,F8CA153F-F39D-41A6-B72F-19D409E8A128
STG-DD115-15,FA8979BC-28FA-4FA4-AE7A-7C54952B8B78
STG-DD115-16,8CA9FF75-7991-43A0-BDDF-B5466E88C2FF
STG-DD115-17,CE4E22AD-AEC1-4DAA-9CD9-5507E1F6BFAE
STG-DD115-18,A018DE4A-1D14-496E-B4A0-21D13AB73AD5
STG-DD115-19,6FD29217-04CA-4298-B34C-91F26A3B31CB
STG-DD115-20,445B32B3-CE5E-4EEF-85EC-EAE3D94D348E
STG-DD115-21,83FDDE4A-1C4C-4000-86BF-613A9020FBFB
STG-DD115-22,BE56DA67-90C2-4BEB-BB12-756EB56D7BBD
STG-DD115-23,06A2D9C7-C516-4F08-A378-D9C23D3F0B5A
STG-DD115-24,DE8E2F80-11AB-45F5-9B16-AED6A76CA820
STG-DD115-25,6DB259F9-BE08-4FDB-AA55-4E51B7B30078
STG-DD115-26,12B85437-4191-4D04-93FB-DA6EC2E7D63F
STG-DD115-27,F2A4FD88-129B-4446-A8C3-531B13ED74D6
STG-DD115-28,90386DC3-0568-4301-83CA-A93035FD0C5B
STG-DD115-29,2390139A-39B5-4745-94AD-78A74A888071
STG-DD115-30,77C4EF86-753C-45D7-A500-0021257CBAAA
STG-DD115-31,798562D3-E692-4085-BB4D-DFDE32CEA883
STG-DD115-32,97B918D5-9320-44E4-BA58-B8EE4EFA9F9A
STG-DD115-33,4426F238-A13D-413D-B1D6-2CE432D4EB70
STG-DD115-34,FCED5D23-8B0E-4C85-9D57-42D49CBE5A2A
STG-DD115-35,F490D86F-1092-49D5-9DD7-5AF83BA8DA61
